part_number,name_en,category,years,engines,confidence,audit_status,occurrence_count,source_count,first_evidence
16521-W7502,"Hose-Vacuum Control,Air Cleaner",general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,34,12,"L=140S/#B2320-Y4001 F/AIRCLNR-VISCOUS +COLD | 10.1991 - 08.1993 16521M 16521W7502 HOSE-VACUUM CONTROL,AIR CLEANER ﻟﻲ 01"
16523-D1100,Insulator-Air Cleaner,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S 10.1991 - ... 16523 16523D1100 INSULATOR-AIR CLEANER ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
16523-W7000,Insulator-Air Cleaner,engine,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,46,12,16500X 6286003J00 AIR DUCT ﻫﻮاءDUCT 01 TB42S 08.1987 - 12.1993 16523 16523W7000 INSULATOR-AIR CLEANER INSULATOR-ﻫﻮاءCLEANER 01 ME.TB42S 08.1987 - 08.1993 16580G 16582H3901 CLAMP-SENSOR & TUBE
16525-16G00,Stud,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,46,12,16548 1654803J00 PACKING ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 ME.TB42S 08.1987 - 08.1993 16325 1652516G00 STUD ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 ME.TB42S 08.1987 - 08.1993 16530 A653035045 INTAKE AIR DUCT
16525-V6500,Stud,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S 09.1988 - 10.1991 16325N 16525V6500 STUD ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
16526-02J00,Air Cleaner Housing Cover,engine,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,38,12,16500C 16551W7000 NUT ﺻﺎﻣﻮﻟﺔ 01 ME.TB42S 08.1987 - 08.1993 16526 1652602J00 AIR CLEANER HOUSING COVER ﻫﻮاءCLEANER HOUSING ﻏﻄﺎء 01 *TB42S F/AIR CLNR-VISCOUS
16526-03J00,Air Cleaner Housing Cover,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,46,12,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 16526 1652603J00 AIR CLEANER HOUSING COVER ﻫﻮاءCLEANER HOUSING ﻏﻄﺎء 01 ME.TB42S 08.1987 - 08.1993 16568 16568W7000 PACKING
16526-21J00,Air Cleaner Housing Cover,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S 09.1988 - ... 16526 1652621J00 AIR CLEANER HOUSING COVER ﻏﻄﺎﺀ 01
16528-21J00,Air Cleaner Housing,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S 09.1988 - ... 16528 1652821J00 AIR CLEANER HOUSING ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
16529-B9800,Grommet,electrical,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,50,12,01 ME.TB42S 08.1987 - 10.1991 081140161A 081140161A ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 16580H 16529B9800 GROMMET ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 *ME.TB42S F/AIR CLNR-ANTI ICING 16268E 16439N2100 CLAMP
16530-02J01,Intake Air Duct,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,38,12,16530 A653035045 INTAKE AIR DUCT INTAKE ﻫﻮاءDUCT 01 *ME.TB42S F/AIR CLNR-ANTI ICING 16530 1653002J01 INTAKE AIR DUCT INTAKE ﻫﻮاءDUCT 01 *TB42S F/AIR CLNR-ANTI ICING 16500N 1650103J10 BOX ASSY-AIR
16530-02J02,Intake Air Duct,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,38,12,TB42S F/AIR CLNR-VISCOUS + COLD | 10.1991 - 08.1993 16530 1653002J02 INTAKE AIR DUCT ﺳﺤﺐ ﻫﻮﺍﺀ 01
16530-20J01,Intake Air Duct,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S L=150 | 09.1988 - 10.1991 16530 1653020J01 INTAKE AIR DUCT ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
16536-78500,Packing,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,8,4,RB30S 09.1988 - 10.1991 16548 1653678500 PACKING ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
16537-21J00,Hose-Vacuum,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S 09.1988 - 10.1991 16521P 1653721J00 HOSE-VACUUM ﻟﻲ 01
16546-03J00,Air Cleaner Element,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,46,12,16546 1654606J00 AIR CLEANER ELEMENT ﻫﻮاءCLEANER ELEMENT 01 *TB42S F/AIR CLNR-VISCOUS 16546 1654603J00 AIR CLEANER ELEMENT ﻫﻮاءCLEANER ELEMENT 01 ME.TB42S F/AIR CLNR-DRY 16331 16331U2000 COMPENSATOR-IDLE
16546-06J00,Air Cleaner Element,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,95,مدقق آليًا بدرجة عالية,38,12,ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 089112081A 089112081A ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 16546 1654606J00 AIR CLEANER ELEMENT ﻫﻮاءCLEANER ELEMENT 01 *TB42S F/AIR CLNR-VISCOUS 16546 1654603J00 AIR CLEANER ELEMENT
16546-62S10,Air Cleaner Element,general,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,Specifications ﺍﻟﻤﻮﺍﺻﻔﺎﺕ 16546 1654662S10 AIR CLEANER ELEMENT ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
16547-03J00,Packing-Air Cleaner,engine,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,46,12,16510M 1651402J00 VALVE ASSY-ATC ﺻﻤﺎم ﻣﺠﻤﻮﻋﺔATC 01 *ME.TB42S F/AIR CLNR-ANTI ICING 16547 1654703J00 PACKING-AIR CLEANER PACKING-ﻫﻮاءCLEANER 01 ME.TB42S 08.1987 - 08.1993 16577 1657803J01 AIR DUCT
16547-62S00,Packing-Air Cleaner,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S L=5100 CUT USE | 09.1988 - 10.1991 16547 1654762S00 PACKING-AIR CLEANER ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
16548-03J00,Packing,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,92,12,16551 16551W7000 NUT-WING ﺻﺎﻣﻮﻟﺔWING 01 ME.TB42S 08.1987 - 08.1993 16548 1654803J00 PACKING ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 ME.TB42S 08.1987 - 08.1993 16325 1652516G00 STUD
16551-W7000,Nut-Wing,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,96,12,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 16500C 16551W7000 NUT ﺻﺎﻣﻮﻟﺔ 01 ME.TB42S 08.1987 - 08.1993 16526 1652602J00 AIR CLEANER HOUSING COVER
16554-21J00,Air Duct,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S 09.1988 - ... 16577 1655421J00 AIR DUCT ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
16555-Z9001,Valve,engine,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,50,12,"16268E 16439N2100 CLAMP ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 ME.TB42S 08.1987 - 08.1993 16500Q 16555Z9001 VALVE ﺻﻤﺎم 01 ME.TB42S 08.1987 - 08.1993 16521M 0218711201 HOSE-VACUUM CONTROL,AIR"
16557-01B01,"Mounting-Rubber,Air",engine,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,50,12,"04 ME.TB42S 08.1987 - 08.1993 0822381610 0822381610 ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 16557 1655701B01 MOUNTING-RUBBER,AIR CLEANER MOUNTING-RUBBER,ﻫﻮاءCLEANER 03 ME.TB42S 08.1987 - 08.1993"
16557-D1100,"Mounting-Rubber,Air Cleaner",general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,"RB30S 09.1988 - 10.1991 16557 16557D1100 MOUNTING-RUBBER,AIR CLEANER ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 02"
16565-D1100,Filter Assy-Blowby,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,38,12,01 ME.TB42S 08.1987 - 10.1991 089151401A 089151401A ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 16565M 16565D1100 FILTER ASSY-BLOWBY ﻓﻠﺘﺮ ﻣﺠﻤﻮﻋﺔBLOWBY 01 ME.TB42S 08.1987 - 10.1991 081140161A 081140161A
16568-W7000,Packing,engine,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,50,12,16526 1652603J00 AIR CLEANER HOUSING COVER ﻫﻮاءCLEANER HOUSING ﻏﻄﺎء 01 ME.TB42S 08.1987 - 08.1993 16568 16568W7000 PACKING ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 02 ME.TB42S 08.1987 - 08.1993 16510M 1651402J00 VALVE ASSY-ATC
16573-03J00,Air Cleaner Support,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,38,12,16521N 1652003J00 HOSE-VACUUM ﻟﻲVACUUM 01 ME.TB42S L=140 W/ORIFICE 16573 1657303J00 AIR CLEANER SUPPORT ﻫﻮاءCLEANER SUPPORT 01 ME.TB42S 08.1987 - 10.1991 16598 1659812G00 CLIP
16574-03J00,Air Cleaner Support,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,38,12,16500N 1650103J10 BOX ASSY-AIR BOX ﻣﺠﻤﻮﻋﺔ-ﻫﻮاء 01 ME.TB42S 08.1987 - 08.1993 16574 1657403J00 AIR CLEANER SUPPORT ﻫﻮاءCLEANER SUPPORT 01 ME.TB42S 08.1987 - 10.1991 0836361625 0836361625
16574-32J00,Air Cleaner Support,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,34,12,ME.TB42S 08.1987 - 08.1993 16574 1657432J00 AIR CLEANER SUPPORT ﻫﻮﺍﺀ 01
16578-03J00,Air Duct,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,46,12,16577 1657803J01 AIR DUCT ﻫﻮاءDUCT 01 *ME.TB42S F/AIR CLNR-ANTI ICING 16577 1657803J00 AIR DUCT ﻫﻮاءDUCT 01 ME.TB42S 08.1987 - 08.1993 16551 16551W7000 NUT-WING
16578-03J01,Air Duct,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,46,12,16547 1654703J00 PACKING-AIR CLEANER PACKING-ﻫﻮاءCLEANER 01 ME.TB42S 08.1987 - 08.1993 16577 1657803J01 AIR DUCT ﻫﻮاءDUCT 01 *ME.TB42S F/AIR CLNR-ANTI ICING 16577 1657803J00 AIR DUCT
16580-01B01,Intake Air Temperature Sensor,electrical,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,34,12,ME.TB42S 08.1987 - 10.1991 16580 1658001B01 INTAKE AIR TEMPERATURE SENSOR ﺳﺤﺐ ﻫﻮﺍﺀ 01
16580-H3900,Intake Air Temperature Sensor,electrical,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S 09.1988 - ... 16580 16580H3900 INTAKE AIR TEMPERATURE SENSOR ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
16581-06J01,Bracket-Air Pipe,body,"1988,1989,1990,1991,1992,1993",TD42,95,مدقق آليًا بدرجة عالية,12,6,TD42 08.1987 - ... 13279 1658106J01 BRACKET-AIR PIPE ﺣﺎﻣﻞ 01
16582-H3901,Clamp-Sensor & Tube,electrical,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,50,12,16523 16523W7000 INSULATOR-AIR CLEANER INSULATOR-ﻫﻮاءCLEANER 01 ME.TB42S 08.1987 - 08.1993 16580G 16582H3901 CLAMP-SENSOR & TUBE ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 *ME.TB42S F/AIR CLNR-ANTI ICING 16500 A650003J06 AIR CLEANER
16590-20J00,Cover-Exhaust Manifold,engine,"1988,1989,1990,1991",,75,مدقق آليًا,8,4,0891284010 ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 16590P 1659020J00 COVER-EXHAUST MANIFOLD ﻏﻄﺎﺀ-ﻋﺎﺩﻡ 01
16598-12G00,Clip,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,50,12,16573 1657303J00 AIR CLEANER SUPPORT ﻫﻮاءCLEANER SUPPORT 01 ME.TB42S 08.1987 - 10.1991 16598 1659812G00 CLIP ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 04 ME.TB42S 08.1987 - 08.1993 0822381610 0822381610
16599-N3600,Cap-Connector,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,50,12,16577C 1651503J00 PACKING ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 ME.TB42S 08.1987 - 08.1993 16599 16599N3600 CAP-CONNECTOR ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 ME.TB42S 08.1987 - 08.1993 16500P 1650103J00 CYCLONE ASSY
16599-W7000,Cap-Connector,general,"1988,1989,1990,1991",TB42S,87,مدقق آليًا بدرجة عالية,8,5,ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 0822381610 0822381610 ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 14058Q 16599W7000 CAP-CONNECTOR ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 (K+HK+W+HW+T).ME.TB42S08.1987 - 10.1991 0822382810 0822382810
16625-43G02,Gasket-Heat Shield,engine,"1988,1989,1990,1991,1992,1993",TD42,95,مدقق آليًا بدرجة عالية,12,6,TD42 08.1987 - ... 13273M 1662543G02 GASKET-HEAT SHIELD ﻭﺟﻪ 06
16650-43G00,Collar,general,"1988,1989,1990,1991,1992,1993",TD42,95,مدقق آليًا بدرجة عالية,12,6,TD42 08.1987 - ... 13225E 1665043G00 COLLAR ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 06
16827-02011,Pin-Float,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,34,12,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 16061A 1682702011 PIN-FLOAT ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 ME.TB42S 08.1987 - 10.1991
16827-0201P,Pin-Float,engine,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,38,12,16101 1610103J05 VALVE-NEEDLE ﺻﻤﺎمNEEDLE 01 ME.TB42S 08.1987 - 08.1993 16061A 168270201P PIN-FLOAT ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 ME.TB42S 08.1987 - 08.1993
17040-35J00,Fuel Pump,fuel,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S CUT USE L=230 | 08.1989 - 10.1991 17010Y 1704035J00 FUEL PUMP ﻃﺮﻣﺒﺔ ﺍﻟﻮﻗﻮﺩ 01
17042-21J00,Fuel Pump,fuel,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 17020Y 1704221J00 FUEL PUMP ﻃﺮﻣﺒﺔ ﺍﻟﻮﻗﻮﺩ 01
17042-51L01,Fuel Pump,fuel,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S 11.1988 - 10.1991 17020Y 1704251L01 FUEL PUMP ﻃﺮﻣﺒﺔ ﺍﻟﻮﻗﻮﺩ 01
17045-35V00,Bracket-Fuel,body,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S 09.1988 - ... 17552M 1704535V00 BRACKET-FUEL ﺣﺎﻣﻞ-ﻭﻗﻮﺩ 01
17202-07J00,Tank Assy-Fuel,fuel,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P CUT USE L=70 | 08.1987 - 10.1991 17201 1720207J00 TANK ASSY-FUEL ﺧﺰﺍﻥ ﻣﺠﻤﻮﻋﺔ-ﻭﻗﻮﺩ 01
17202-07J01,Tank Assy-Fuel,fuel,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,01 (K+HK+W+HW+HV). (TB42S+TD42) L=70 S/#A7335-U0110 17201 1720207J01 TANK ASSY-FUEL TANK ﻣﺠﻤﻮﻋﺔ-وﻗﻮد 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 07.1993 17201B 1723279900 PACKING-DRAIN PLUG
17221-01J00,Tube Assy-Filler,general,"1991,1992,1993","TB42S,TD42",82,مدقق آليًا,6,4,01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 083638162G 083638162G ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 17224 1722101J00 TUBE ASSY-FILLER TUBE ﻣﺠﻤﻮﻋﺔFILLER 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 083636122G 083636122G
17221-02J00,Tube Assy-Filler,general,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,083638162G ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 17224 1722102J00 TUBE ASSY-FILLER ﻣﺎﺳﻮﺭﺓ ﻣﺠﻤﻮﻋﺔ 01
17226-01J00,Hose-Filler,general,"1988,1989,1990,1991,1992,1993","RB30S,TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,02 (K+HK+W+HW+HV). (TB42S+TD42) 10.1991 - 08.1993 17223 1722601J00 HOSE-FILLER ﻟﻲFILLER 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 17220 1722801J00 HOSE-FILLER
17228-01J00,Hose-Filler,electrical,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,17223 1722601J00 HOSE-FILLER ﻟﻲFILLER 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 17220 1722801J00 HOSE-FILLER ﻟﻲFILLER 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 17202G 0155200431 CLAMP
17232-79900,Packing-Drain Plug,fuel,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,17201 1720207J01 TANK ASSY-FUEL TANK ﻣﺠﻤﻮﻋﺔ-وﻗﻮد 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 07.1993 17201B 1723279900 PACKING-DRAIN PLUG ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 17201A 0112500062 PLUG-DRAIN
17232-S0160,Packing-Drain Plug,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 17201B 17232S0160 PACKING-DRAIN PLUG ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
17240-50Y00,Grommet-Filler Tube,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P CUT USE L=270 | 08.1987 - 10.1991 17220F 1724050Y00 GROMMET-FILLER TUBE ﻣﺎﺳﻮﺭﺓ 01
17240-51E00,Grommet-Filler Tube,general,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,(K+W+HW).ME.TB42S.AD + (K+W+HW).GEN.TB42S.DX 10.1991 - 08.1993 17220F 1724051E00 GROMMET-FILLER TUBE ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 083638162G 083638162G
17251-79915,Cap Assy-Filler,general,"1988,1989,1990,1991,1992,1993",TB42S,97,مدقق آليًا بدرجة عالية,10,7,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 17251 1725179915 CAP ASSY-FILLER CAP ﻣﺠﻤﻮﻋﺔFILLER 01 (K+HK).TB42S +(W+HW).TB42S +HV.TB42S
17255-01G00,Holder-Filler Cap,body,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,76,12,W.GEN +W.ME.2S/S.3S/F.TB42S 10.1991 - 08.1993 17255N 1725501G00 HOLDER-FILLER CAP ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
17275-07J00,Filter-Fuel Tank,fuel,"1991,1992,1993","TB42S,TD42",82,مدقق آليًا,6,4,17333H 0155500311 CLIP-HOSE CLIP-ﻟﻲ 02 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 17275 1727507J00 FILTER-FUEL TANK ﻓﻠﺘﺮ-وﻗﻮدTANK 01 (K+HK).TB42S +(W+HW).TB42S +HV.TB42S
17275-V5400,Filter-Fuel Tank,fuel,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 17275 17275V5400 FILTER-FUEL TANK ﻭﻗﻮﺩ ﺧﺰﺍﻥ 01
17285-07J00,Protector,electrical,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,01 (K+HK+W+HW+HV). (TB42S+TD42) 10.1991 - 08.1993 17326B 1728507J00 PROTECTOR ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 17335A 0155800111 CLAMP
17330-01P00,Valve Assy-Fuel Check,engine,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 17330 1733001P00 VALVE ASSY-FUEL CHECK ﺻﻤﺎﻡ ﻣﺠﻤﻮﻋﺔ-ﻭﻗﻮﺩ 01
17330-30P00,Valve Assy-Fuel Check,engine,"1988,1989,1990,1991","RB30S,TD42",85,مدقق آليًا بدرجة عالية,4,4,K.2P +2S.S.(TD42+RB30S) +2S.B.(TD42+RB30S) 09.1988 - 10.1991 17330 1733030P00 VALVE ASSY-FUEL CHECK ﺻﻤﺎﻡ ﻣﺠﻤﻮﻋﺔ-ﻭﻗﻮﺩ 01
17335-41G00,Hose-Evaporation,electrical,"1988,1989,1990,1991,1992,1993","RB30S,TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,17335A 0155800111 CLAMP ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 02 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 17335 1733541G00 HOSE-EVAPORATION ﻟﻲEVAPORATION 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993
17337-65000,Blind Assy,cooling,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,28,12,+*HW.GEN.2S/B.3SL.DX F/REAR COOLER | 10.1991 - 08.1993 27115E 1733765000 BLIND ASSY ﻣﺠﻤﻮﻋﺔ 01
17338-06J01,Tube-Evaporation,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S 10.1994 - ... 17508P 1733806J01 TUBE-EVAPORATION ﻣﺎﺳﻮﺭﺓ 01
17338-06J02,Tube-Evaporation,general,"1988,1989,1990,1991,1992,1993","RB30S,TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,01 (W+HW+HV).ME.TB42S + (W+HW+HV).TD42 10.1991 - 08.1993 17508P 1733806J02 TUBE-EVAPORATION ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 HV.ME.2S/L.TB42S + (ME.2S/S.3S/F+ME.2S/S.3S/S).TB
17339-01J00,Tube-Breather,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,W.5P +W.6P +HW.5P 08.1987 - 09.1988 17508 1733901J00 TUBE-BREATHER ﻣﺎﺳﻮﺭﺓ 01
17339-06J00,Tube-Breather,general,"1991,1992,1993",TB42S,82,مدقق آليًا,6,4,(ME.2S/S.3S/F+ME.2S/S.3S/S).TB 42S 10.1991 - 12.1993 17508 1733906J00 TUBE-BREATHER ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 HV.ME.2S/L.TB42S + (ME.2S/S.3S/F+ME.2S/S.3S/S).TB
