generation,vid,year,market,body,engine,grade,status
Verification Required,189488,2011,General/Asia (LHD),VK56VD,LE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190706,2011,General/Asia (LHD),WAGON 3 ROW,VK56DE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190711,2011,General/Asia (LHD),WAGON 3 ROW,VK56DE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190708,2011,General/Asia (LHD),WAGON 3 ROW,VK56DE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190736,2011,General/Asia (LHD),WAGON 3 ROW,VK56VD,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189480,2012,Australia (RHD),WAGON 2 ROW,VK56VD,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189494,2012,Australia (RHD),WAGON 2 ROW,VK56VD,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189468,2012,General/Asia (LHD),VK56DE,LE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189468,2012,General/Asia (LHD),VK56DE,LE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189467,2012,General/Asia (LHD),VK56DE,LE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189467,2012,General/Asia (LHD),VK56DE,LE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189478,2012,General/Asia (LHD),VK56DE,XE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189478,2012,General/Asia (LHD),VK56DE,XE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189479,2012,General/Asia (LHD),VK56DE,XE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189479,2012,General/Asia (LHD),VK56DE,XE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189489,2012,General/Asia (LHD),VK56VD,PREMIUM,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189489,2012,General/Asia (LHD),VK56VD,PREMIUM,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189485,2012,General/Asia (LHD),VK56VD,PREMIUM,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189485,2012,General/Asia (LHD),VK56VD,PREMIUM,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189490,2012,General/Asia (LHD),VK56VD,SE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189490,2012,General/Asia (LHD),VK56VD,SE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190701,2012,General/Asia (LHD),WAGON 3 ROW,VK56DE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190702,2012,General/Asia (LHD),WAGON 3 ROW,VK56DE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190713,2012,General/Asia (LHD),WAGON 3 ROW,VK56DE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190712,2012,General/Asia (LHD),WAGON 3 ROW,VK56DE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190737,2012,General/Asia (LHD),WAGON 3 ROW,VK56VD,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190733,2012,General/Asia (LHD),WAGON 3 ROW,VK56VD,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189481,2012,General/Asia (RHD),VK56VD,BASE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189495,2013,Europe (LHD),VK56VD,SE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189469,2013,General/Asia (LHD),VK56DE,PREMIUM C GRADE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189470,2013,General/Asia (LHD),VK56DE,PREMIUM,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189473,2013,General/Asia (LHD),VK56DE,XE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189483,2013,General/Asia (LHD),VK56VD,PREMIUM C GRADE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189484,2013,General/Asia (LHD),VK56VD,PREMIUM M GRADE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189491,2013,General/Asia (LHD),VK56VD,UPPER,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,189493,2014,Europe (LHD),VK56VD,SE,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190742,2016,Canada,WAGON 3 ROW,VK56VD,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190740,2016,Canada,WAGON 3 ROW,VK56VD,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,190748,2016,Canada,WAGON 3 ROW,VK56VD,,Verification Required - no delivered vehicle PDF matched this VID
